"","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotBathrooms","Remod","Age"
"1","2 story 1946+","RL",65,8450,1,"None",3,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,4,3,"PConc",4,3,1,6,706,1,0,150,"GasA",5,1,"SBrkr",856,854,0,1710,1,0,2,1,3,1,4,8,7,0,0,"Attchd",2,2,3,3,2,0,61,0,0,0,0,0,"None","None",0,"2","2008","WD","Normal",12.247694320221,3.5,0,-2000
"3","2 story 1946+","RL",68,11250,1,"None",2,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,4,3,"PConc",4,3,2,6,486,1,0,434,"GasA",5,1,"SBrkr",920,866,0,1786,1,0,2,1,3,1,4,6,7,1,3,"Attchd",2,2,3,3,2,0,42,0,0,0,0,0,"None","None",0,"9","2008","WD","Normal",12.3171666930358,3.5,1,-1999
"4","2 story 1945-","RL",60,9550,1,"None",2,"Lvl","Corner",2,"Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,3,3,"BrkTil",3,4,1,5,216,1,0,540,"GasA",4,1,"SBrkr",961,756,0,1717,1,0,1,0,3,1,4,7,7,1,4,"Detchd",1,3,3,3,2,0,35,272,0,0,0,0,"None","None",0,"2","2006","WD","Abnorml",11.8493977015914,2,1,-1969
"5","2 story 1946+","RL",84,14260,1,"None",2,"Lvl","FR2",2,"NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,4,3,"PConc",4,3,3,6,655,1,0,490,"GasA",5,1,"SBrkr",1145,1053,0,2198,1,0,2,1,4,1,4,9,7,1,3,"Attchd",2,3,3,3,2,192,84,0,0,0,0,0,"None","None",0,"12","2008","WD","Normal",12.4292161968444,3.5,0,-1997
"6","1,5 story fin","RL",85,14115,1,"None",2,"Lvl","Inside",2,"Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"Wood",4,3,1,6,732,1,0,64,"GasA",5,1,"SBrkr",796,566,0,1362,1,0,1,1,1,1,3,5,7,0,0,"Attchd",1,2,3,3,2,40,30,0,320,0,0,0,"MnPrv","Shed",700,"10","2009","WD","Normal",11.870599909242,2.5,1,-1991
"7","1 story 1946+","RL",75,10084,1,"None",3,"Lvl","Inside",2,"Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,4,3,"PConc",5,3,3,6,1369,1,0,317,"GasA",5,1,"SBrkr",1694,0,0,1694,1,0,2,0,3,1,4,7,7,1,4,"Attchd",2,2,3,3,2,255,57,0,0,0,0,0,"None","None",0,"8","2007","WD","Normal",12.6346030265693,3,1,-2003
"8","2 story 1946+","RL",75,10382,1,"None",2,"Lvl","Corner",2,"NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,3,3,"CBlock",4,3,2,5,859,4,32,216,"GasA",5,1,"SBrkr",1107,983,0,2090,1,0,2,1,3,1,3,7,7,2,3,"Attchd",2,2,3,3,2,235,204,228,0,0,0,0,"None","Shed",350,"11","2009","WD","Normal",12.2060726455302,3.5,0,-1969
"9","1,5 story fin","RM",51,6120,1,"None",3,"Lvl","Inside",2,"OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,3,3,"BrkTil",3,3,1,1,0,1,0,952,"GasA",4,1,"FuseF",1022,752,0,1774,0,0,2,0,2,2,3,8,6,2,3,"Detchd",1,2,2,3,2,90,0,205,0,0,0,0,"None","None",0,"4","2008","WD","Abnorml",11.7745202026587,2,1,-1947
"11","1 story 1946+","RL",70,11200,1,"None",3,"Lvl","Inside",2,"Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,1,3,906,1,0,134,"GasA",5,1,"SBrkr",1040,0,0,1040,1,0,1,0,3,1,3,5,7,0,0,"Detchd",1,1,3,3,2,0,0,0,0,0,0,0,"None","None",0,"2","2008","WD","Normal",11.7714361601217,2,0,-1962
"12","2 story 1946+","RL",85,11924,1,"None",2,"Lvl","Inside",2,"NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,5,3,"PConc",5,3,1,6,998,1,0,177,"GasA",5,1,"SBrkr",1182,1142,0,2324,1,0,3,0,4,1,5,11,7,2,4,"BuiltIn",3,3,3,3,2,147,21,0,0,0,0,0,"None","None",0,"7","2006","New","Partial",12.7512996960135,4,1,-2005
